"","datetime","I","speed","hours","K","S","N","CO_2"
"1",2018-10-24,0,0.208789926649361,0,284.743,32.69,3.81333333333333e-06,0.00214
"2",2018-10-24 01:00:00,0,0.220763540156905,1,284.49,32.01,3.81333333333333e-06,0.00214
"3",2018-10-24 02:00:00,0,0.327441576884017,2,284.414,31.67,3.81333333333333e-06,0.00214
"4",2018-10-24 03:00:00,0,-0.553921965049287,3,284.76,32.62,3.81333333333333e-06,0.00214
"5",2018-10-24 04:00:00,0,-0.642787318209494,4,284.53,32.01,3.81333333333333e-06,0.00214
"6",2018-10-24 05:00:00,0,-0.720621386418382,5,284.237,30.74,3.81333333333333e-06,0.00214
"7",2018-10-24 06:00:00,0,-0.682701289006882,6,284.346,31.26,3.81333333333333e-06,0.00214
"8",2018-10-24 07:00:00,0.281183412024503,-0.558883056397465,7,284.107,30.62,3.81333333333333e-06,0.00214
"9",2018-10-24 08:00:00,0.539194815451107,-0.407437368244896,8,284.093,30.46,3.81333333333333e-06,0.00214
"10",2018-10-24 09:00:00,0.727244577534055,-0.266620538688048,9,283.948,29.89,3.81333333333333e-06,0.00214
"11",2018-10-24 10:00:00,0.832855462874479,0.18082663936131,10,284.441,31.51,3.81333333333333e-06,0.00214
"12",2018-10-24 11:00:00,0.848897622673024,0.175026710934465,11,283.788,29.39,3.81333333333333e-06,0.00214
"13",2018-10-24 12:00:00,0.774034210279813,0.225529913510603,12,284.009,29.96,3.81333333333333e-06,0.00214
"14",2018-10-24 13:00:00,0.613612612294359,0.310376219936854,13,283.844,29.28,3.81333333333333e-06,0.00214
"15",2018-10-24 14:00:00,0.378327601915694,0.396974708788011,14,283.752,28.65,3.81333333333333e-06,0.00214
"16",2018-10-24 15:00:00,0.0842213389423631,0.498590518524017,15,284.103,30.34,3.81333333333333e-06,0.00214
"17",2018-10-24 16:00:00,0,0.596152088465587,16,284.15,30.45,3.81333333333333e-06,0.00214
"18",2018-10-24 17:00:00,0,0.653929005445972,17,283.986,29.8,3.81333333333333e-06,0.00214
"19",2018-10-24 18:00:00,0,0.665499225562674,18,284.442,31.55,3.81333333333333e-06,0.00214
"20",2018-10-24 19:00:00,0,0.623874192550216,19,284.535,31.93,3.81333333333333e-06,0.00214
"21",2018-10-24 20:00:00,0,0.538979645956317,20,284.697,32.44,3.81333333333333e-06,0.00214
"22",2018-10-24 21:00:00,0,0.434434279133584,21,284.928,33.06,3.81333333333333e-06,0.00214
"23",2018-10-24 22:00:00,0,0.343868451439629,22,284.627,32.19,3.81333333333333e-06,0.00214
"24",2018-10-24 23:00:00,0,0.275495684085714,23,284.657,32.21,3.81333333333333e-06,0.00214
"25",2018-10-25,0,0.184642226822631,24,284.275,30.77,3.81333333333333e-06,0.00214
"26",2018-10-25 01:00:00,0,0.109322459445886,25,284.273,30.77,3.81333333333333e-06,0.00214
"27",2018-10-25 02:00:00,0,0.219622298216854,26,284.287,30.86,3.81333333333333e-06,0.00214
"28",2018-10-25 03:00:00,0,0.332013448071631,27,284.314,30.97,3.81333333333333e-06,0.00214
"29",2018-10-25 04:00:00,0,0.443711637570729,28,284.296,30.96,3.81333333333333e-06,0.00214
"30",2018-10-25 05:00:00,0,0.531780849562737,29,284.363,31.14,3.81333333333333e-06,0.00214
"31",2018-10-25 06:00:00,0,0.5699877117939,30,284.291,30.91,3.81333333333333e-06,0.00214
"32",2018-10-25 07:00:00,0.145716284836787,0.557995176760448,31,284.381,31.18,3.81333333333333e-06,0.00214
"33",2018-10-25 08:00:00,0.286530798624018,0.508297956105691,32,284.364,31.13,3.81333333333333e-06,0.00214
"34",2018-10-25 09:00:00,0.389022375114725,0.456363628881597,33,280.9074524,NA,3.81333333333333e-06,0.00214
"35",2018-10-25 10:00:00,0.446506781059512,-0.414372670753804,34,284.301,30.91,3.81333333333333e-06,0.00214
"36",2018-10-25 11:00:00,0.455419092058704,-0.356383335455755,35,284.194,30.56,3.81333333333333e-06,0.00214
"37",2018-10-25 12:00:00,0.414868077012381,-0.298591657165905,36,284.159,30.36,3.81333333333333e-06,0.00214
"38",2018-10-25 13:00:00,0.327081813670341,-0.268607943685075,37,284.18,30.39,3.81333333333333e-06,0.00214
"39",2018-10-25 14:00:00,0.199190150831938,-0.261197793258247,38,284.316,30.93,3.81333333333333e-06,0.00214
"40",2018-10-25 15:00:00,0.0387685528464846,-0.257564438569604,39,284.219,30.56,3.81333333333333e-06,0.00214
"41",2018-10-25 16:00:00,0,-0.218512206372591,40,284.189,30.46,3.81333333333333e-06,0.00214
"42",2018-10-25 17:00:00,0,0.159748034898268,41,284.281,30.81,3.81333333333333e-06,0.00214
"43",2018-10-25 18:00:00,0,0.186445563897802,42,284.18,30.42,3.81333333333333e-06,0.00214
"44",2018-10-25 19:00:00,0,0.236538100185039,43,284.195,30.69,3.81333333333333e-06,0.00214
"45",2018-10-25 20:00:00,0,0.32381577206402,44,284.236,30.67,3.81333333333333e-06,0.00214
"46",2018-10-25 21:00:00,0,0.400808354392488,45,284.273,30.76,3.81333333333333e-06,0.00214
"47",2018-10-25 22:00:00,0,0.468300072736811,46,284.236,30.61,3.81333333333333e-06,0.00214
"48",2018-10-25 23:00:00,0,0.483370188849869,47,284.274,30.83,3.81333333333333e-06,0.00214
"49",2018-10-26,0,0.452380708807842,48,284.175,30.44,3.81333333333333e-06,0.00214
"50",2018-10-26 01:00:00,0,0.421511206202347,49,284.252,30.74,3.81333333333333e-06,0.00214
"51",2018-10-26 02:00:00,0,0.422651231921024,50,284.224,30.58,3.81333333333333e-06,0.00214
"52",2018-10-26 03:00:00,0,0.410731614907584,51,284.235,30.74,3.81333333333333e-06,0.00214
"53",2018-10-26 04:00:00,0,-0.362937501983273,52,284.208,30.59,3.81333333333333e-06,0.00214
"54",2018-10-26 05:00:00,0,-0.307033398753115,53,284.258,30.84,3.81333333333333e-06,0.00214
"55",2018-10-26 06:00:00,0,0.250943821396049,54,284.246,30.69,3.81333333333333e-06,0.00214
"56",2018-10-26 07:00:00,0.335548509119573,0.224413671922098,55,284.178,30.57,3.81333333333333e-06,0.00214
"57",2018-10-26 08:00:00,0.675107558188783,0.295429585456033,56,284.215,30.67,3.81333333333333e-06,0.00214
"58",2018-10-26 09:00:00,0.923761035066236,0.367197322638429,57,284.143,30.56,3.81333333333333e-06,0.00214
"59",2018-10-26 10:00:00,1.06279308665363,0.520842205951923,58,284.085,30.48,3.81333333333333e-06,0.00214
"60",2018-10-26 11:00:00,1.08373701750173,0.613749138053151,59,284.132,30.49,3.81333333333333e-06,0.00214
"61",2018-10-26 12:00:00,0.98525598096066,0.664656798472176,60,284.039,30.23,3.81333333333333e-06,0.00214
"62",2018-10-26 13:00:00,0.773588594729853,0.676804193712494,61,284.203,30.65,3.81333333333333e-06,0.00214
"63",2018-10-26 14:00:00,0.462994556408017,0.648767618665752,62,284.245,30.79,3.81333333333333e-06,0.00214
"64",2018-10-26 15:00:00,0.0757546434931308,0.577842867150509,63,284.152,30.49,3.81333333333333e-06,0.00214
"65",2018-10-26 16:00:00,0,0.518358305509884,64,284.032,30.14,3.81333333333333e-06,0.00214
"66",2018-10-26 17:00:00,0,-0.451565717859967,65,284.178,30.58,3.81333333333333e-06,0.00214
"67",2018-10-26 18:00:00,0,-0.346744058363172,66,284.213,30.63,3.81333333333333e-06,0.00214
"68",2018-10-26 19:00:00,0,-0.214039143839094,67,284.08,30.23,3.81333333333333e-06,0.00214
"69",2018-10-26 20:00:00,0,0.0929002574174178,68,284.013,30.11,3.81333333333333e-06,0.00214
"70",2018-10-26 21:00:00,0,0.131236131516871,69,284.227,30.67,3.81333333333333e-06,0.00214
"71",2018-10-26 22:00:00,0,0.255535329142377,70,284.072,30.23,3.81333333333333e-06,0.00214
"72",2018-10-26 23:00:00,0,0.384534478935221,71,283.988,30.04,3.81333333333333e-06,0.00214
"73",2018-10-27,0,0.507803087951614,72,284.05,30.22,3.81333333333333e-06,0.00214
"74",2018-10-27 01:00:00,0,0.581515209342912,73,283.601,29.3,3.81333333333333e-06,0.00214
"75",2018-10-27 02:00:00,0,0.555040678779097,74,283.729,29.58,3.81333333333333e-06,0.00214
"76",2018-10-27 03:00:00,0,0.509880564465055,75,284.106,30.25,3.81333333333333e-06,0.00214
"77",2018-10-27 04:00:00,0,0.465051859279396,76,283.707,29.51,3.81333333333333e-06,0.00214
"78",2018-10-27 05:00:00,0,0.429262018900361,77,283.376,28.88,3.81333333333333e-06,0.00214
"79",2018-10-27 06:00:00,0,0.387726045112998,78,283.695,29.38,3.81333333333333e-06,0.00214
"80",2018-10-27 07:00:00,0.303018573972523,0.324421314954794,79,283.93,29.98,3.81333333333333e-06,0.00214
"81",2018-10-27 08:00:00,0.627426694343107,0.254280751020916,80,283.803,29.72,3.81333333333333e-06,0.00214
"82",2018-10-27 09:00:00,0.86449416692161,0.178211858338814,81,283.888,29.74,3.81333333333333e-06,0.00214
"83",2018-10-27 10:00:00,0.997287600809569,0.149836245516042,82,284.117,30.23,3.81333333333333e-06,0.00214
"84",2018-10-27 11:00:00,1.01778591610771,0.198069442616492,83,284.157,30.34,3.81333333333333e-06,0.00214
"85",2018-10-27 12:00:00,0.923315419516276,0.275192774700695,84,283.797,29.86,3.81333333333333e-06,0.00214
"86",2018-10-27 13:00:00,0.721451575384581,0.332970608195078,85,283.277,28.59,3.81333333333333e-06,0.00214
"87",2018-10-27 14:00:00,0.425117234661452,0.368911701773996,86,282.481,27.2,3.81333333333333e-06,0.00214
"88",2018-10-27 15:00:00,0.0552563281949895,0.387565414527674,87,282.61,27.43,3.81333333333333e-06,0.00214
"89",2018-10-27 16:00:00,0,0.388806592994247,88,283.278,28.71,3.81333333333333e-06,0.00214
"90",2018-10-27 17:00:00,0,0.394465626776452,89,282.974,28.13,3.81333333333333e-06,0.00214
"91",2018-10-27 18:00:00,0,0.413228771234369,90,284.108,30.29,3.81333333333333e-06,0.00214
"92",2018-10-27 19:00:00,0,0.439724538817641,91,282.86,27.89,3.81333333333333e-06,0.00214
"93",2018-10-27 20:00:00,0,0.467133287128091,92,282.848,27.95,3.81333333333333e-06,0.00214
"94",2018-10-27 21:00:00,0,0.408849912607091,93,282.554,27.56,3.81333333333333e-06,0.00214
